CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
╝Г╤И╔╚,1960,1,121.00,24.95,1.6868,
╝Г╤И╔╚,1960,2,121.00,24.95,0.0601501,
╝Г╤И╔╚,1960,3,121.00,24.95,3.78194,
╝Г╤И╔╚,1960,4,121.00,24.95,4.95436,
╝Г╤И╔╚,1960,5,121.00,24.95,7.72525,
╝Г╤И╔╚,1960,6,121.00,24.95,8.42748,
╝Г╤И╔╚,1960,7,121.00,24.95,2.82146,
╝Г╤И╔╚,1960,8,121.00,24.95,17.6154,
╝Г╤И╔╚,1960,9,121.00,24.95,5.54466,
╝Г╤И╔╚,1960,10,121.00,24.95,0.598759,
╝Г╤И╔╚,1960,11,121.00,24.95,1.25004,
╝Г╤И╔╚,1960,12,121.00,24.95,0.74818,
╝Г╤И╔╚,1961,1,121.00,24.95,0.851802,
╝Г╤И╔╚,1961,2,121.00,24.95,3.00936,
╝Г╤И╔╚,1961,3,121.00,24.95,7.49512,
╝Г╤И╔╚,1961,4,121.00,24.95,2.93156,
╝Г╤И╔╚,1961,5,121.00,24.95,3.51022,
╝Г╤И╔╚,1961,6,121.00,24.95,1.124,
╝Г╤И╔╚,1961,7,121.00,24.95,1.87561,
╝Г╤И╔╚,1961,8,121.00,24.95,0.20133,
╝Г╤И╔╚,1961,9,121.00,24.95,4.12941,
╝Г╤И╔╚,1961,10,121.00,24.95,0.0859889,
╝Г╤И╔╚,1961,11,121.00,24.95,0.578697,
╝Г╤И╔╚,1961,12,121.00,24.95,2.0397,
╝Г╤И╔╚,1962,1,121.00,24.95,1.1188,
╝Г╤И╔╚,1962,2,121.00,24.95,1.31191,
╝Г╤И╔╚,1962,3,121.00,24.95,6.78706,
╝Г╤И╔╚,1962,4,121.00,24.95,3.76277,
╝Г╤И╔╚,1962,5,121.00,24.95,3.39003,
╝Г╤И╔╚,1962,6,121.00,24.95,2.57146,
╝Г╤И╔╚,1962,7,121.00,24.95,7.47151,
╝Г╤И╔╚,1962,8,121.00,24.95,5.27632,
╝Г╤И╔╚,1962,9,121.00,24.95,2.3469,
╝Г╤И╔╚,1962,10,121.00,24.95,1.41474,
╝Г╤И╔╚,1962,11,121.00,24.95,1.57423,
╝Г╤И╔╚,1962,12,121.00,24.95,0.0691362,
╝Г╤И╔╚,1963,1,121.00,24.95,0.0674362,
╝Г╤И╔╚,1963,2,121.00,24.95,0.354127,
╝Г╤И╔╚,1963,3,121.00,24.95,1.8477,
╝Г╤И╔╚,1963,4,121.00,24.95,0.683397,
╝Г╤И╔╚,1963,5,121.00,24.95,0.611345,
╝Г╤И╔╚,1963,6,121.00,24.95,3.97428,
╝Г╤И╔╚,1963,7,121.00,24.95,2.40178,
╝Г╤И╔╚,1963,8,121.00,24.95,0,
╝Г╤И╔╚,1963,9,121.00,24.95,15.1199,
╝Г╤И╔╚,1963,10,121.00,24.95,0.00587544,
╝Г╤И╔╚,1963,11,121.00,24.95,0.432475,
╝Г╤И╔╚,1963,12,121.00,24.95,0.191725,
╝Г╤И╔╚,1964,1,121.00,24.95,6.71484,
╝Г╤И╔╚,1964,2,121.00,24.95,2.86423,
╝Г╤И╔╚,1964,3,121.00,24.95,1.04493,
╝Г╤И╔╚,1964,4,121.00,24.95,0,
╝Г╤И╔╚,1964,5,121.00,24.95,1.45999,
╝Г╤И╔╚,1964,6,121.00,24.95,7.02156,
╝Г╤И╔╚,1964,7,121.00,24.95,0.000415747,
╝Г╤И╔╚,1964,8,121.00,24.95,5.43507,
╝Г╤И╔╚,1964,9,121.00,24.95,0.685628,
╝Г╤И╔╚,1964,10,121.00,24.95,0.922925,
╝Г╤И╔╚,1964,11,121.00,24.95,0.211926,
╝Г╤И╔╚,1964,12,121.00,24.95,0.311125,
╝Г╤И╔╚,1965,1,121.00,24.95,2.91558,
╝Г╤И╔╚,1965,2,121.00,24.95,0.4315,
╝Г╤И╔╚,1965,3,121.00,24.95,1.79314,
╝Г╤И╔╚,1965,4,121.00,24.95,3.26862,
╝Г╤И╔╚,1965,5,121.00,24.95,6.17212,
╝Г╤И╔╚,1965,6,121.00,24.95,4.80945,
